id,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,n_experience_level,n_employment_type,n_company_size
333,2022,SE,FT,"Data Analyst",90320,USD,90320,US,100,US,M,2,3,2
336,2022,MI,FT,"Data Analyst",167000,USD,167000,US,100,US,M,1,3,2
338,2022,SE,FT,"Data Analyst",136600,USD,136600,US,100,US,M,2,3,2
339,2022,SE,FT,"Data Analyst",109280,USD,109280,US,100,US,M,2,3,2
349,2022,SE,FT,"Data Analyst",135000,USD,135000,US,100,US,M,2,3,2
360,2022,SE,FT,"Data Analyst",130000,USD,130000,CA,100,CA,M,2,3,2
361,2022,SE,FT,"Data Analyst",61300,USD,61300,CA,100,CA,M,2,3,2
362,2022,SE,FT,"Data Analyst",130000,USD,130000,CA,100,CA,M,2,3,2
363,2022,SE,FT,"Data Analyst",61300,USD,61300,CA,100,CA,M,2,3,2
367,2022,MI,FT,"Data Analyst",58000,USD,58000,US,0,US,S,1,3,1
376,2022,SE,FT,"Data Analyst",132000,USD,132000,US,0,US,M,2,3,2
382,2022,SE,FT,"Data Analyst",128875,USD,128875,US,100,US,M,2,3,2
383,2022,SE,FT,"Data Analyst",93700,USD,93700,US,100,US,M,2,3,2
387,2022,SE,FT,"Data Analyst",164000,USD,164000,US,0,US,M,2,3,2
392,2022,SE,FT,"Data Analyst",112900,USD,112900,US,100,US,M,2,3,2
393,2022,SE,FT,"Data Analyst",90320,USD,90320,US,100,US,M,2,3,2
402,2022,SE,FT,"Data Analyst",115934,USD,115934,US,0,US,M,2,3,2
403,2022,SE,FT,"Data Analyst",81666,USD,81666,US,0,US,M,2,3,2
406,2022,MI,FT,"Data Analyst",58000,USD,58000,US,0,US,S,1,3,1
408,2022,MI,FT,"Data Analyst",40000,GBP,52351,GB,100,GB,M,1,3,2
429,2022,MI,FT,"Data Analyst",30000,GBP,39263,GB,100,GB,M,1,3,2
430,2022,MI,FT,"Data Analyst",40000,EUR,43966,ES,100,ES,M,1,3,2
431,2022,MI,FT,"Data Analyst",30000,EUR,32974,ES,100,ES,M,1,3,2
440,2022,MI,FT,"Data Analyst",40000,EUR,43966,GR,100,GR,M,1,3,2
441,2022,MI,FT,"Data Analyst",30000,EUR,32974,GR,100,GR,M,1,3,2
470,2022,MI,FT,"Data Analyst",135000,USD,135000,US,100,US,M,1,3,2
471,2022,MI,FT,"Data Analyst",50000,USD,50000,US,100,US,M,1,3,2
522,2022,MI,FT,"Data Analyst",20000,USD,20000,GR,100,GR,S,1,3,1
527,2022,SE,FT,"Data Analyst",135000,USD,135000,US,100,US,M,2,3,2
528,2022,SE,FT,"Data Analyst",100000,USD,100000,US,100,US,M,2,3,2
529,2022,SE,FT,"Data Analyst",90320,USD,90320,US,100,US,M,2,3,2
530,2022,MI,FT,"Data Analyst",85000,USD,85000,CA,0,CA,M,1,3,2
531,2022,MI,FT,"Data Analyst",75000,USD,75000,CA,0,CA,M,1,3,2
536,2022,SE,FT,"Data Analyst",112900,USD,112900,US,100,US,M,2,3,2
540,2022,SE,FT,"Data Analyst",115934,USD,115934,US,100,US,M,2,3,2
541,2022,SE,FT,"Data Analyst",81666,USD,81666,US,100,US,M,2,3,2
548,2022,SE,FT,"Data Analyst",99050,USD,99050,US,100,US,M,2,3,2
564,2022,SE,FT,"Data Analyst",116150,USD,116150,US,100,US,M,2,3,2
566,2022,SE,FT,"Data Analyst",170000,USD,170000,US,100,US,M,2,3,2
567,2022,MI,FT,"Data Analyst",50000,GBP,65438,GB,0,GB,M,1,3,2
568,2022,SE,FT,"Data Analyst",80000,USD,80000,US,100,US,M,2,3,2
572,2022,SE,FT,"Data Analyst",100000,USD,100000,US,100,US,M,2,3,2
573,2022,SE,FT,"Data Analyst",69000,USD,69000,US,100,US,M,2,3,2
577,2022,SE,FT,"Data Analyst",150075,USD,150075,US,100,US,M,2,3,2
580,2022,SE,FT,"Data Analyst",126500,USD,126500,US,100,US,M,2,3,2
581,2022,SE,FT,"Data Analyst",106260,USD,106260,US,100,US,M,2,3,2
584,2022,SE,FT,"Data Analyst",105000,USD,105000,US,100,US,M,2,3,2
585,2022,SE,FT,"Data Analyst",110925,USD,110925,US,100,US,M,2,3,2
586,2022,MI,FT,"Data Analyst",35000,GBP,45807,GB,0,GB,M,1,3,2
588,2022,SE,FT,"Data Analyst",99000,USD,99000,US,0,US,M,2,3,2
589,2022,SE,FT,"Data Analyst",60000,USD,60000,US,100,US,M,2,3,2
597,2022,SE,FT,"Data Analyst",170000,USD,170000,US,100,US,M,2,3,2
600,2022,EN,FT,"Data Analyst",67000,USD,67000,CA,0,CA,M,0,3,2
601,2022,EN,FT,"Data Analyst",52000,USD,52000,CA,0,CA,M,0,3,2
604,2022,SE,FT,"Data Analyst",129000,USD,129000,US,0,US,M,2,3,2
605,2022,SE,FT,"Data Analyst",150000,USD,150000,US,100,US,M,2,3,2
