,work_year,experience_level,employment_type,job_title,salary_in_usd,remote_ratio,company_size,n_experience_level,n_employment_type,n_company_size,job_title_str,remote_ratio_str
208,2022,SE,FT,Data Scientist,140400,0,M,2,3,2,0,0
209,2022,SE,FT,Data Analyst,116150,100,M,2,3,2,1,100
210,2022,SE,FT,Data Analyst,170000,100,M,2,3,2,1,100
211,2022,MI,FT,Data Analyst,65438,0,M,1,3,2,1,0
212,2022,SE,FT,Data Analyst,80000,100,M,2,3,2,1,100
213,2022,SE,FT,Data Scientist,140000,100,M,2,3,2,0,100
214,2022,SE,FT,Data Scientist,210000,100,M,2,3,2,0,100
215,2022,SE,FT,Data Scientist,140000,100,M,2,3,2,0,100
216,2022,SE,FT,Data Analyst,100000,100,M,2,3,2,1,100
217,2022,SE,FT,Data Analyst,69000,100,M,2,3,2,1,100
218,2022,SE,FT,Data Scientist,210000,100,M,2,3,2,0,100
219,2022,SE,FT,Data Scientist,140000,100,M,2,3,2,0,100
220,2022,SE,FT,Data Scientist,210000,100,M,2,3,2,0,100
221,2022,SE,FT,Data Analyst,150075,100,M,2,3,2,1,100
222,2022,SE,FT,Data Analyst,126500,100,M,2,3,2,1,100
223,2022,SE,FT,Data Analyst,106260,100,M,2,3,2,1,100
224,2022,SE,FT,Data Analyst,105000,100,M,2,3,2,1,100
225,2022,SE,FT,Data Analyst,110925,100,M,2,3,2,1,100
226,2022,MI,FT,Data Analyst,45807,0,M,1,3,2,1,0
227,2022,SE,FT,Data Scientist,140000,100,M,2,3,2,0,100
228,2022,SE,FT,Data Analyst,99000,0,M,2,3,2,1,0
229,2022,SE,FT,Data Analyst,60000,100,M,2,3,2,1,100
230,2022,SE,FT,Data Scientist,230000,100,M,2,3,2,0,100
231,2022,SE,FT,Data Scientist,150000,100,M,2,3,2,0,100
232,2022,SE,FT,Data Scientist,210000,100,M,2,3,2,0,100
233,2022,SE,FT,Data Analyst,170000,100,M,2,3,2,1,100
234,2022,MI,FT,Data Scientist,160000,100,M,1,3,2,0,100
235,2022,MI,FT,Data Scientist,130000,100,M,1,3,2,0,100
236,2022,EN,FT,Data Analyst,67000,0,M,0,3,2,1,0
237,2022,EN,FT,Data Analyst,52000,0,M,0,3,2,1,0
238,2022,SE,FT,Data Analyst,129000,0,M,2,3,2,1,0
239,2022,SE,FT,Data Analyst,150000,100,M,2,3,2,1,100
